Designator,Mid X,Mid Y,Rotation,Layer
BOOT1,62.06,-35.13,180.0,bottom
BOOT2,91.27,-35.13,180.0,bottom
C1,88.0515,-38.48,0.0,bottom
C2,89.72,-44.24,180.0,bottom
C3,66.094967,-73.048708,135.0,bottom
C4,60.945288,-65.189365,315.0,bottom
C5,58.814967,-67.328708,135.0,bottom
C6,57.724967,-66.178708,135.0,bottom
C7,80.98,-57.94,0.0,bottom
C8,96.131992,-61.488008,135.0,bottom
C9,97.21,-62.59,135.0,bottom
D2,81.692258,-73.583018,225.0,bottom
IC2,63.055288,-69.639365,45.0,bottom
IC3,91.137258,-64.038528,315.0,bottom
J1,99.95,-50.85,270.0,bottom
J2,54.8,-55.25,270.0,bottom
J3,94.593266,-67.126438,315.0,bottom
J4,54.79,-46.19,270.0,bottom
J5,76.193,-61.446661,0.0,top
LED1,101.01,-44.54,0.0,bottom
LED4,100.67,-57.14,0.0,bottom
Q1,75.9525,-67.3,0.0,bottom
R1,72.16,-68.23,180.0,bottom
R10,72.33,-73.66,270.0,bottom
R11,86.54,-73.06,135.0,bottom
R12,95.05,-60.4,135.0,bottom
R13,98.29,-64.73,225.0,bottom
R14,99.36,-63.65,45.0,bottom
R2,79.01,-66.51,90.0,bottom
R3,87.3315,-40.79,270.0,bottom
R4,60.82,-38.07,0.0,bottom
R5,89.28,-53.82,0.0,bottom
R6,89.26,-52.27,0.0,bottom
R7,93.09,-48.77,270.0,bottom
R8,93.52,-54.72,90.0,bottom
R9,97.68,-44.52,180.0,bottom
SW1,76.21,-76.815,0.0,bottom
U1,87.515336,-68.231161,135.0,bottom
U2,76.29,-45.47,0.0,bottom
U5,84.614871,-71.141185,315.0,bottom
U8,89.74,-41.46,0.0,bottom
